prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
鹿児島県,2015,15214,6417,3037,999,213,4238,310,0,0.421783,0.278559
沖縄県,2015,14884,5928,3952,405,266,2535,1795,3,0.39828,0.170317
北海道,2016,42836,18567,9575,1892,305,10513,1977,7,0.433444,0.245424
青森県,2016,12242,5344,1868,375,214,4042,386,13,0.43653,0.330175
岩手県,2016,11390,5033,2166,440,197,3300,253,1,0.441879,0.289728
宮城県,2016,19587,9693,3020,1041,221,4917,682,13,0.494869,0.251034
秋田県,2016,8695,3879,1569,279,72,2592,304,0,0.446118,0.298102
山形県,2016,10204,4577,1909,362,164,3069,123,0,0.44855,0.300764
福島県,2016,17387,7950,3217,603,114,5080,421,2,0.457238,0.292172
茨城県,2016,25475,12888,4616,1119,213,5677,962,0,0.505908,0.222846
栃木県,2016,17554,9137,3041,288,177,4098,813,0,0.520508,0.233451
群馬県,2016,17065,8980,2962,869,200,3455,597,2,0.526223,0.202461
埼玉県,2016,57150,32513,9791,3374,200,8875,2397,0,0.568906,0.155293
千葉県,2016,48944,27451,8734,3909,104,7312,1429,5,0.560865,0.149395
東京都,2016,100422,66778,12395,5649,278,7546,7715,61,0.664974,0.075143
神奈川県,2016,65311,40157,10455,2331,384,6377,5602,5,0.614858,0.097641
新潟県,2016,19479,9091,5010,645,235,3935,562,1,0.466708,0.202012
富山県,2016,9161,4762,1512,516,128,2116,127,0,0.519812,0.230979
石川県,2016,10203,5578,1404,323,96,2313,489,0,0.546702,0.226698
福井県,2016,7348,4119,1056,172,31,1713,255,2,0.560561,0.233125
