prefecture,year,entrants_total,national,public,private
山梨県,2025,4219,877,1109,2233
長野県,2025,4194,2045,1027,1122
岐阜県,2025,4687,1293,200,3194
静岡県,2025,8039,2185,1032,4822
愛知県,2025,44100,4133,2111,37856
三重県,2025,3097,1381,103,1613
滋賀県,2025,6670,976,619,5075
京都府,2025,36549,3831,1093,31625
大阪府,2025,60009,4317,2939,52753
兵庫県,2025,27269,2823,1909,22537
奈良県,2025,4433,810,396,3227
和歌山県,2025,2038,922,280,836
鳥取県,2025,1634,1221,328,85
島根県,2025,1721,1237,484,0
岡山県,2025,9013,2299,580,6134
広島県,2025,13261,2511,1667,9083
山口県,2025,4712,1957,1866,889
徳島県,2025,2413,1427,0,986
香川県,2025,2161,1282,92,787
愛媛県,2025,4238,1895,100,2243
高知県,2025,2330,1122,968,240
福岡県,2025,27288,4221,2103,20964
佐賀県,2025,1846,1355,0,491
長崎県,2025,3807,1659,778,1370
熊本県,2025,5991,1725,504,3762
大分県,2025,3433,1160,81,2192
宮崎県,2025,2148,1059,315,774
鹿児島県,2025,3709,2106,0,1603
沖縄県,2025,4576,1567,834,2175
